Subject,CourseCode,Class Nbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Inst Last Nm
CSE,543,27374,Computer Sci Capstone Proj II,MW,10:45 AM,12:00 PM,TEMPE,132,COORL1-74,yau
CSE,545,18810,Computer Sci Capstone Proj II,MW,4:35 PM,5:50 PM,TEMPE,125,COOR174,yau
CSE,546,21127,Computer Sci Capstone Proj II,TTh,12:00 PM,1:15 PM,TEMPE,125,cavc351,zhao
CSE,551,23343,Computer Sci Capstone Proj II,tth,7:30 AM,8:45 AM,TEMPE,135,Psh153,sen
CSE,551,30959,Introduction to Engineering,tth,12:00 PM,1:15 PM,TEMPE,135,PSH153,sen
CSE,555,27203,Introduction to Engineering,TTh,10:30 AM,11:45 AM,TEMPE,45,CDS234,colbourn
CSE,564,27211,Grand Challenges for Engrg,MW,12:15 PM,1:30 PM,TEMPE,50,ECGG236,sarjoughian
CSE,566,11339,Tech; Social; & Sustain System,MW,3:05 PM,4:20 PM,TEMPE,132,CAVC351,collofello
CSE,571,27252,Topic: Exploring Leadership Potential,TTH,4:30 PM,5:45 PM,TEMPE,130,COORL1-74,Zhang
CSE,572,25946,Entrepreneur & Value Creation,T,1:30 PM,2:45 PM,TEMPE,130,CAVC351,Ayan
CSE,572,30961,Topic: Academic Success and Professional Development,Th,1:30 PM,2:45 PM,TEMPE,130,CAVC351,AYAN
CSE,573,27254,Strategic Enterprise Innovatin,TTh,4:30 PM,5:45 PM,TEMPE,124,CDN68,Davulcu
CSE,575,27223,Intro Industrial Engineering,MW,3:05 PM,4:20 PM,TEMPE,150,PSH150,Yang
CSE,576,23382,Business/Industrial Engr,TTh,6:00 PM,7:15 PM,TEMPE,125,CAVC351,chitta baral
CSE,578,30962,Economic Analys for Engineers,TTh,10:30 AM,11:45 AM,TEMPE,125,COOR L1-20,hsiao
CSE,591,27953,Seminar,F,10:55 AM,1:40 PM,TEMPE,30,BYENG210,Liang
CSE,591,27334,Seminar,MW,6:00 PM,7:15 PM,TEMPE,80,COOR120,Yu Zhang
CSE,591,32123,Seminar,MW,10:45 AM,12:00 PM,TEMPE,45,BYENGM1-11,Fainekos
CSE,591,16401,Seminar,TTh,1:30 PM,2:45 PM,TEMPE,80,CAVC359,Yang
CSE,591,18782,Seminar,TTh,3:00 PM,4:15 PM,TEMPE,60,BYAC270,Amor
FSE,100,27635,Introduction to Engineering,F ,10:45 AM,11:35 AM,TEMPE,80,PSH153,Chen
FSE,100,83218,Introduction to Engineering,Th ,4:30 PM,5:45 PM,TEMPE,150,BYAC270,Meuth
FSE,150,82455,Grand Challenges for Engrg,F ,1:30 PM,2:20 PM,TEMPE,132,INTRT,Trowbridge
FSE,181,79345,Tech; Social; & Sustain System,M ,1:30 PM,2:20 PM,TEMPE,60,BYAC270,Allenby
FSE,194,90190,Topic: Exploring Leadership Potential,F ,3:00 PM,3:50 PM,TEMPE,150,INTRT,Silva
FSE,301,87876,Entrepreneur & Value Creation,M W F ,2:00 PM,2:50 PM,TEMPE,128,BYAC270,Troness
FSE,394,85759,Topic: Academic Success and Professional Development, ,12:00 AM,12:00 AM,TEMPE,80,INTRT,Anderson-Rowland
FSE,502,92378,Strategic Enterprise Innovatin,M ,6:00 PM,8:45 PM,TEMPE,150,BYAC270,Trappen
IEE,210,71307,Intro Industrial Engineering,T Th ,9:00 AM,10:15 AM,TEMPE,132,INTRT,Clough
IEE,220,73291,Business/Industrial Engr,M W ,4:35 PM,5:50 PM,TEMPE,80,BYENGM1-09,Fleischner
IEE,300,71308,Economic Analys for Engineers,T Th ,3:00 PM,4:15 PM,TEMPE,80,INTRT,Jennings
IEE,376,71310,Oper Rsrch Det Tech/Apps,T Th ,1:30 PM,2:45 PM,TEMPE,190,BYAC110,Mirchandani
IEE,380,77308,Prob & Stats Engr Prob Solving,T Th ,4:30 PM,5:45 PM,TEMPE,132,BYENGM1-09,Chattin
IEE,380,87728,Prob & Stats Engr Prob Solving,T Th ,6:00 PM,7:15 PM,TEMPE,126,-,Bren
IEE,385,80376,Engr Statistics - Probability,T Th ,6:00 PM,7:15 PM,TEMPE,130,BYAC270,Chattin
IEE,394,78677,Topic: Extreme Excel, ,6:00 PM,7:15 PM,TEMPE,150,INTRT,McCarville
IEE,412,80379,Intro to Financial Engineering,M W ,10:45 AM,12:00 PM,TEMPE,69,BYAC150,McCarville
IEE,426,91345,Operations Rrsch in Healthcare,M W ,4:35 PM,5:50 PM,TEMPE,50,INTRT,Wu
IEE,431,91929,Engineering Administration, ,6:00 PM,7:15 PM,TEMPE,80,PSH153,Jennings
IEE,437,71311,Human Factors Engineering,M W ,6:00 PM,7:15 PM,TEMPE,150,BYAC270,Parry
IEE,454,77730,Risk Management,T Th ,4:30 PM,5:45 PM,TEMPE,132,INTRT,McCarville
IEE,461,77813,Production Control,M W ,3:05 PM,4:20 PM,TEMPE,60,BYAC270,Chattin
IEE,470,72508,Stochastic Operations Research,M W F ,2:00 PM,2:50 PM,TEMPE,150,INTRT,Ju
IEE,474,74270,Quality Control,M W F ,9:40 AM,10:30 AM,TEMPE,128,BYAC270,Li
IEE,506,91213,Web-Enabled Decn Support Systs,T Th ,1:30 PM,2:45 PM,TEMPE,80,INTRT,Ye
IEE,511,75531,Analysis of Decision Processes,T Th ,6:00 PM,7:15 PM,TEMPE,150,BYAC270,Mirchandani
IEE,512,91879,Intro to Financial Engineering,M W ,10:45 AM,12:00 PM,TEMPE,132,INTRT,McCarville
IEE,520,72692,Stat Learning for Data Mining,T Th ,4:30 PM,5:45 PM,TEMPE,80,BYENGM1-09,Runger
IEE,526,91346,Operations Rrsch in Healthcare,M W ,4:35 PM,5:50 PM,TEMPE,80,INTRT,Wu
IEE,545,91992,Simulating Stochastic Systems,M W ,3:05 PM,4:20 PM,TEMPE,190,BYAC110,Staff
IEE,547,71313,Human Factors Engineering,M W ,6:00 PM,7:15 PM,TEMPE,132,BYENGM1-09,Parry
IEE,571,92066,Quality Management,T Th ,12:00 PM,1:15 PM,TEMPE,126,-,Jennings
IEE,572,75775,Design Engineering Experiments,T Th ,9:00 AM,10:15 AM,TEMPE,130,BYAC270,Montgomery
IEE,573,91770,Reliability Engineering,M W ,9:00 AM,10:15 AM,TEMPE,150,INTRT,Pan
GCU,102,81470,Introduction Human Geography,T Th ,9:00 AM,10:15 AM,TEMPE,125,COOR174,Larson
GCU,121,73682,World Geography,T Th ,10:30 AM,11:45 AM,TEMPE,125,COORL1-74,Larson
GCU,240,78347,Introduction to Southeast Asia,N/A,N/A,N/A,ICOURSE,5,ICOURSE,Lundry
GCU,322,85445,Geography of U.S. and Canada,N/A,N/A,N/A,ICOURSE,200,ICOURSE,Shaeffer
AEE,325,75408,Aerospace Structures/Materials,T Th ,1:30 PM,2:45 PM,TEMPE,40,COOR186,Staff
AEE,415,71077,Vibration Analysis,M W,10:45 AM,12:00 PM,TEMPE,60,COOR199,Mignolet
AEE,445,75756,Fund of Spacecraft Design,M W,4:35 PM,5:50 PM,TEMPE,60,WXLRA103,Staff
AEE,463,71078,Aircraft Propulsion,T Th ,3:00 PM,4:15 PM,TEMPE,55,DISCVRY350,Dahm
ABS,318,84871,Unseen Life on Earth,T Th ,3:00 PM,4:15 PM,TEMPE,20,PRLTA214,Penton
ABS,384,89297,Natural Resources Meas,T Th ,12:00 PM,1:15 PM,TEMPE,30,PRLTA313,Stein
